indice,Alfa,CotaError,MAX_ITER,iteracion,FuncionCapaOculta,FuncionCapaSalida,CantidadCorrectosTraining,PorcentajeCorrectosTraining,CantidadCorrectosTest,PorcentajeCorrectosTest
1,0.3000,0.000001,5000,5000,logsig,tansig,74,0.4625,17,0.4250
2,0.3000,0.000001,5000,5000,logsig,tansig,73,0.4562,18,0.4500
3,0.3000,0.000001,5000,5000,logsig,tansig,75,0.4688,16,0.4000
4,0.3000,0.000001,5000,5000,logsig,tansig,72,0.4500,18,0.4500
5,0.3000,0.000001,5000,5000,logsig,tansig,74,0.4625,17,0.4250
1,0.3000,0.000001,5000,5000,logsig,tansig,119,0.7438,26,0.6500
2,0.3000,0.000001,5000,5000,logsig,tansig,101,0.6312,26,0.6500
3,0.3000,0.000001,5000,5000,logsig,tansig,119,0.7438,23,0.5750
4,0.3000,0.000001,5000,5000,logsig,tansig,121,0.7562,23,0.5750
5,0.3000,0.000001,5000,5000,logsig,tansig,96,0.6000,22,0.5500
1,0.3000,0.000001,5000,5000,logsig,tansig,158,0.9875,33,0.8250
2,0.3000,0.000001,5000,5000,logsig,tansig,160,1.0000,38,0.9500
3,0.3000,0.000001,5000,5000,logsig,tansig,160,1.0000,37,0.9250
4,0.3000,0.000001,5000,5000,logsig,tansig,152,0.9500,35,0.8750
5,0.3000,0.000001,5000,5000,logsig,tansig,160,1.0000,38,0.9500
1,0.3000,0.000001,5000,5000,logsig,tansig,160,1.0000,33,0.8250
2,0.3000,0.000001,5000,5000,logsig,tansig,160,1.0000,39,0.9750
3,0.3000,0.000001,5000,5000,logsig,tansig,160,1.0000,39,0.9750
4,0.3000,0.000001,5000,5000,logsig,tansig,160,1.0000,35,0.8750
5,0.3000,0.000001,5000,5000,logsig,tansig,160,1.0000,35,0.8750